"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"2008","Slovenia","Terajoule","All products","Gross inland consumption","324,735",""
"2008","Slovakia","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","18,297.6",""
"2008","Slovakia","Terajoule","All products","Gross inland consumption","766,084",""
"2008","Finland","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","35,977.9",""
"2008","Finland","Terajoule","All products","Gross inland consumption","1,506,322",""
"2008","Sweden","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","49,306.4",""
"2008","Sweden","Terajoule","All products","Gross inland consumption","2,064,362",""
"2008","United Kingdom","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","219,244.4",""
"2008","United Kingdom","Terajoule","All products","Gross inland consumption","9,179,325",""
"2008","Iceland","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","5,654.1",""
"2008","Iceland","Terajoule","All products","Gross inland consumption","236,728",""
"2008","Norway","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","32,582.9",""
"2008","Norway","Terajoule","All products","Gross inland consumption","1,364,179",""
"2008","Montenegro","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","1,226.0",""
"2008","Montenegro","Terajoule","All products","Gross inland consumption","51,331",""
"2008","Former Yugoslav Republic of Macedonia, the","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","2,963.4",""
"2008","Former Yugoslav Republic of Macedonia, the","Terajoule","All products","Gross inland consumption","124,073",""
"2008","Albania","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","2,095.9",""
"2008","Albania","Terajoule","All products","Gross inland consumption","87,750",""
"2008","Serbia","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","16,699.6",""
"2008","Serbia","Terajoule","All products","Gross inland consumption","699,179",""
"2008","Turkey","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","100,181.2",""
"2008","Turkey","Terajoule","All products","Gross inland consumption","4,194,387",""
"2008","Bosnia and Herzegovina","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","4,448.6","p"
"2008","Bosnia and Herzegovina","Terajoule","All products","Gross inland consumption","186,255","p"
"2008","Kosovo (under United Nations Security Council Resolution 1244/99)","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","2,219.3",""
"2008","Kosovo (under United Nations Security Council Resolution 1244/99)","Terajoule","All products","Gross inland consumption","92,919",""
"2008","Moldova","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","3,383.1","p"
"2008","Moldova","Terajoule","All products","Gross inland consumption","141,645","p"
"2008","Ukraine","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","135,027.5",""
"2008","Ukraine","Terajoule","All products","Gross inland consumption","5,653,330",""
"2009","European Union (28 countries)","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","1,699,956.4",""
"2009","European Union (28 countries)","Terajoule","All products","Gross inland consumption","71,173,773",""
"2009","Euro area (19 countries)","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","1,203,856.2",""
"2009","Euro area (19 countries)","Terajoule","All products","Gross inland consumption","50,403,050",""
"2009","Belgium","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","56,631.1",""
"2009","Belgium","Terajoule","All products","Gross inland consumption","2,371,033",""
"2009","Bulgaria","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","17,503.9",""
"2009","Bulgaria","Terajoule","All products","Gross inland consumption","732,855",""
"2009","Czech Republic","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","42,897.8",""
"2009","Czech Republic","Terajoule","All products","Gross inland consumption","1,796,045",""
"2009","Denmark","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","18,910.0",""
"2009","Denmark","Terajoule","All products","Gross inland consumption","791,726",""
"2009","Germany (until 1990 former territory of the FRG)","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","316,485.4",""
"2009","Germany (until 1990 former territory of the FRG)","Terajoule","All products","Gross inland consumption","13,250,611",""
"2009","Estonia","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","5,353.4",""
"2009","Estonia","Terajoule","All products","Gross inland consumption","224,138",""
"2009","Ireland","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","14,838.5",""
"2009","Ireland","Terajoule","All products","Gross inland consumption","621,260",""
"2009","Greece","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","30,467.5",""
"2009","Greece","Terajoule","All products","Gross inland consumption","1,275,612",""
"2009","Spain","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","130,526.5",""
"2009","Spain","Terajoule","All products","Gross inland consumption","5,464,882",""
"2009","France","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","259,064.4",""
"2009","France","Terajoule","All products","Gross inland consumption","10,846,509",""
"2009","Croatia","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","9,526.5",""
"2009","Croatia","Terajoule","All products","Gross inland consumption","398,856",""
"2009","Italy","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","173,731.5",""
"2009","Italy","Terajoule","All products","Gross inland consumption","7,273,790",""
"2009","Cyprus","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","2,817.4",""
"2009","Cyprus","Terajoule","All products","Gross inland consumption","117,959",""
"2009","Latvia","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","4,509.4",""
